iter	Passed	Remaining
488	1927	2013
489	1929	2008
490	1931	2001
491	1932	1995
492	1936	1991
493	1938	1985
494	1940	1979
495	1942	1973
496	1944	1967
497	1945	1961
498	1947	1955
499	1950	1950
500	1952	1944
501	1953	1938
502	1955	1932
503	1957	1926
504	1959	1920
505	1960	1914
506	1962	1908
507	1966	1904
508	1968	1898
509	1969	1892
510	1971	1886
511	1972	1880
512	1974	1874
513	1976	1868
514	1978	1862
515	1979	1857
516	1982	1851
517	1984	1846
518	1986	1840
519	1987	1834
520	1989	1828
521	1993	1825
522	1996	1820
523	1999	1816
524	2002	1811
525	2005	1806
526	2006	1800
527	2009	1796
528	2011	1791
529	2013	1785
530	2015	1779
531	2016	1774
532	2018	1768
533	2020	1763
534	2023	1758
535	2025	1753
536	2027	1747
537	2029	1742
538	2030	1736
539	2032	1731
540	2033	1725
541	2035	1720
542	2040	1717
543	2043	1713
544	2046	1708
545	2051	1705
546	2056	1703
547	2059	1699
548	2062	1694
549	2065	1689
550	2072	1688
551	2075	1684
552	2080	1681
553	2083	1677
554	2088	1674
555	2092	1670
556	2095	1666
557	2101	1664
558	2105	1661
559	2108	1656
560	2111	1652
561	2115	1648
562	2118	1644
563	2121	1639
564	2123	1635
565	2126	1630
566	2131	1627
567	2134	1623
568	2136	1618
569	2139	1614
570	2142	1609
571	2146	1606
572	2149	1601
573	2151	1597
574	2154	1592
575	2156	1587
576	2161	1584
577	2165	1580
578	2168	1576
579	2171	1572
580	2179	1571
581	2182	1567
582	2186	1563
583	2188	1559
584	2194	1556
585	2196	1552
586	2210	1555
587	2214	1551
588	2216	1546
589	2219	1542
590	2226	1540
591	2229	1536
592	2232	1532
593	2235	1527
594	2241	1525
595	2273	1541
596	2279	1538
597	2281	1533
598	2285	1529
599	2290	1527
600	2295	1524
601	2298	1519
602	2303	1516
603	2306	1512
604	2309	1508
605	2313	1504
606	2316	1499
607	2320	1495
608	2323	1491
609	2326	1487
610	2329	1482
611	2333	1479
612	2335	1474
613	2338	1470
614	2342	1466
615	2347	1463
616	2354	1461
617	2356	1456
618	2360	1453
619	2373	1454
620	2377	1450
621	2379	1446
622	2382	1441
623	2385	1437
624	2388	1432
625	2393	1429
626	2396	1425
627	2398	1420
628	2403	1417
629	2408	1414
630	2411	1409
631	2413	1405
632	2416	1400
633	2418	1396
634	2425	1394
635	2428	1390
636	2431	1385
637	2433	1380
638	2438	1377
639	2442	1373
640	2445	1369
641	2449	1365
642	2454	1362
643	2458	1359
644	2461	1354
645	2464	1350
646	2466	1345
647	2471	1342
648	2474	1338
649	2478	1334
650	2481	1330
651	2487	1327
652	2490	1323
653	2495	1320
654	2500	1316
655	2504	1313
656	2507	1309
657	2511	1305
658	2516	1301
659	2518	1297
660	2521	1293
661	2524	1288
662	2526	1284
663	2530	1280
664	2533	1276
665	2536	1272
666	2539	1267
667	2542	1263
668	2546	1259
669	2549	1255
670	2554	1252
671	2556	1247
672	2565	1246
673	2568	1242
674	2574	1239
675	2579	1236
676	2582	1232
677	2586	1228
678	2588	1223
679	2590	1219
680	2594	1215
681	2597	1211
682	2598	1206
683	2600	1201
684	2602	1196
685	2604	1192
686	2608	1188
687	2609	1183
688	2612	1179
689	2613	1174
690	2615	1169
691	2616	1164
692	2618	1160
693	2620	1155
694	2623	1151
695	2626	1147
696	2629	1143
697	2631	1138
698	2633	1134
699	2635	1129
700	2639	1125
701	2641	1121
702	2643	1116
703	2645	1112
704	2647	1107
705	2651	1104
706	2654	1100
707	2657	1096
708	2659	1091
709	2660	1086
710	2662	1082
711	2671	1080
712	2675	1076
713	2679	1073
714	2683	1069
715	2687	1065
716	2691	1062
717	2694	1058
718	2701	1055
719	2704	1051
720	2706	1047
721	2709	1043
722	2714	1039
723	2715	1035
724	2717	1030
725	2719	1026
726	2720	1021
727	2724	1017
728	2730	1014
729	2731	1010
730	2733	1005
731	2734	1001
732	2736	996
733	2738	992
734	2739	987
735	2744	984
736	2747	980
737	2750	976
738	2751	971
739	2752	967
740	2754	962
741	2758	959
742	2761	955
743	2764	951
744	2766	946
745	2768	942
746	2769	937
747	2771	933
748	2774	929
749	2776	925
750	2778	921
751	2779	916
752	2780	912
753	2782	907
754	2783	903
755	2785	899
756	2789	895
757	2792	891
758	2794	887
759	2795	882
760	2797	878
761	2799	874
762	2803	870
763	2806	866
764	2809	863
765	2811	858
766	2813	854
767	2815	850
768	2819	846
769	2821	842
770	2822	838
771	2824	834
772	2827	830
773	2829	826
774	2830	821
775	2836	818
776	2839	814
777	2841	810
778	2843	806
779	2844	802
780	2847	798
781	2850	794
782	2853	790
783	2854	786
784	2857	782
785	2859	778
786	2860	774
787	2866	771
788	2872	768
789	2875	764
790	2877	760
791	2880	756
792	2883	752
793	2885	748
794	2887	744
795	2888	740
796	2890	736
797	2893	732
798	2895	728
799	2897	724
800	2899	720
801	2900	716
802	2902	711
803	2903	707
804	2904	703
805	2908	700
806	2910	695
807	2911	691
808	2912	687
809	2914	683
810	2916	679
811	2917	675
812	2918	671
813	2920	667
814	2924	663
815	2926	659
816	2928	655
817	2929	651
818	2931	647
819	2933	643
820	2934	639
821	2938	636
822	2939	632
823	2941	628
824	2943	624
825	2944	620
826	2946	616
827	2948	612
828	2949	608
829	2953	604
830	2956	601
831	2958	597
832	2961	593
833	2962	589
834	2964	585
835	2965	581
836	2969	578
837	2971	574
838	2972	570
839	2974	566
840	2976	562
841	2978	558
842	2980	555
843	2984	551
844	2986	547
845	2988	544
846	2990	540
847	2991	536
848	2993	532
849	2994	528
850	2998	524
851	3000	521
852	3001	517
853	3003	513
854	3005	509
855	3007	505
856	3009	502
857	3013	498
858	3014	494
859	3016	491
860	3017	487
861	3020	483
862	3021	479
863	3023	475
864	3027	472
865	3029	468
866	3031	464
867	3032	461
868	3034	457
869	3035	453
870	3037	449
871	3038	446
872	3040	442
873	3043	438
874	3045	435
875	3046	431
876	3048	427
877	3049	423
878	3051	420
879	3052	416
880	3053	412
881	3057	408
882	3058	405
883	3060	401
884	3061	397
885	3062	394
886	3064	390
887	3065	386
888	3067	383
889	3069	379
890	3073	375
891	3074	372
892	3076	368
893	3077	364
894	3079	361
895	3081	357
896	3082	353
897	3084	350
898	3087	346
899	3089	343
900	3091	339
901	3092	336
902	3094	332
903	3095	328
904	3097	325
905	3099	321
906	3102	318
907	3104	314
908	3106	311
909	3108	307
910	3110	303
911	3112	300
912	3114	296
913	3118	293
914	3119	289
915	3121	286
916	3123	282
917	3125	279
918	3126	275
919	3128	272
920	3131	268
921	3134	265
922	3138	261
923	3139	258
924	3142	254
925	3148	251
926	3151	248
927	3154	244
928	3155	241
929	3157	237
930	3159	234
931	3163	230
932	3164	227
933	3166	223
934	3167	220
935	3169	216
936	3170	213
937	3172	209
938	3174	206
939	3177	202
940	3179	199
941	3180	195
942	3182	192
943	3183	188
944	3185	185
945	3188	182
946	3193	178
947	3195	175
948	3198	171
949	3201	168
950	3205	165
951	3210	161
952	3213	158
953	3216	155
954	3219	151
955	3224	148
956	3227	145
957	3230	141
958	3234	138
959	3239	134
960	3242	131
961	3244	128
962	3247	124
963	3250	121
964	3254	118
965	3257	114
966	3262	111
967	3265	107
968	3269	104
969	3273	101
970	3276	97
971	3290	94
972	3293	91
973	3307	88
974	3310	84
975	3312	81
976	3328	78
977	3341	75
978	3344	71
979	3352	68
980	3356	65
981	3359	61
982	3361	58
983	3367	54
984	3369	51
985	3371	47
986	3374	44
987	3375	41
988	3380	37
989	3382	34
990	3385	30
991	3386	27
992	3388	23
993	3390	20
994	3394	17
995	3398	13
996	3401	10
997	3403	6
998	3406	3
999	3415	0
